Mean Intensity,Standard Deviation,Minimum Intensity,Maximum Intensity,Edge Pixels,Contour Count,Largest Contour Area,Texture Value,Label
131.7332389987245,68.79885271546964,0.0,255.0,5784.0,1.0,26107.0,360.4242779220556,1
96.79047751913265,83.50412433702316,0.0,255.0,5460.0,2.0,27915.0,239.124540895385,1
102.43889508928571,82.84001668519974,0.0,255.0,5023.0,2.0,22860.0,276.45482116875576,1
128.1504902742347,73.92915084636682,0.0,255.0,7754.0,15.0,25709.0,1019.2853584829741,1
88.18875558035714,84.62009273444299,0.0,255.0,5651.0,1.0,20697.0,715.5415736607143,1
92.2485052614796,84.01065258552319,0.0,255.0,5658.0,1.0,20854.5,563.3983176095144,1
111.32559390943878,80.16253913400563,0.0,255.0,6117.0,1.0,23770.5,320.498379644579,1
112.80931122448979,79.17463078406773,0.0,255.0,6169.0,30.0,22380.0,396.29223998831196,1
110.32413903061224,80.60334360048353,0.0,255.0,5989.0,2.0,26180.0,305.2235230950701,1
89.71986607142857,83.89244335888907,0.0,255.0,5016.0,3.0,19374.5,463.45551658163265,1
111.95129145408163,77.60035149342801,0.0,255.0,4118.0,29.0,25557.5,466.17824683135774,1
130.04591836734693,70.82309593382303,0.0,255.0,7450.0,3.0,28694.0,519.9536545768175,1
77.58518016581633,85.13272575045156,0.0,255.0,5411.0,10.0,19312.0,680.9602568585492,1
97.45485889668367,82.81892372026972,0.0,255.0,4861.0,11.0,22158.0,529.5355548469388,1
88.3587571747449,85.28578637839456,0.0,255.0,5625.0,5.0,28606.0,417.2745158915617,1
129.8136758609694,71.0479107737264,0.0,255.0,6280.0,2.0,25103.0,343.54365818821265,1
129.3669882015306,71.11800708614405,0.0,255.0,6327.0,2.0,25609.0,315.9727976909035,1
128.4430604272959,72.53450112126346,0.0,255.0,7774.0,11.0,24338.0,600.1662625984469,1
130.56062659438774,71.02047308162261,0.0,255.0,10013.0,3.0,27155.0,661.7785378106184,1
101.96875,83.62425654488624,0.0,255.0,6374.0,4.0,32572.0,261.7713695015326,1
96.89764030612245,83.25248590074523,0.0,255.0,5850.0,1.0,23206.5,505.59151785714283,1
119.91507892219387,78.22616143728926,0.0,255.0,7897.0,9.0,24825.0,408.0442306914959,1
92.2872090242347,85.08397291149312,0.0,255.0,6545.0,8.0,30251.0,452.7383011127203,1
90.26765784438776,83.118565539856,0.0,255.0,4822.0,3.0,19338.0,467.876634247449,1
129.9679328762755,71.36646538324418,0.0,255.0,8380.0,15.0,24339.0,573.7777945066879,1
96.52279974489795,83.13038429090025,0.0,255.0,5908.0,1.0,22435.5,361.9912296217314,1
113.45723054846938,78.59808474078375,0.0,255.0,6317.0,2.0,23005.0,488.2081062602083,1
95.61150749362245,84.4797649045247,0.0,255.0,6875.0,1.0,27898.5,370.1598763169968,1
96.123046875,83.95397035759112,0.0,255.0,5327.0,1.0,25690.0,330.95653291445683,1
129.6187818877551,71.73118598828972,0.0,255.0,7544.0,14.0,24660.5,463.2617657020756,1
130.1658561862245,70.56158343218804,0.0,255.0,6353.0,2.0,26480.5,399.6792564181575,1
128.5309510522959,73.24455683181512,0.0,255.0,6759.0,27.0,17571.5,403.70003996487213,1
110.29675542091837,80.21907947446391,0.0,255.0,6084.0,1.0,24715.5,229.89760752451116,1
115.3157884247449,78.0928080783197,0.0,255.0,4960.0,17.0,26842.0,529.5342979431152,1
121.58902662627551,76.19308974170403,0.0,255.0,6926.0,13.0,13129.0,744.2955379192156,1
128.2873086734694,72.7635217483393,0.0,255.0,7705.0,10.0,26873.5,510.7229120778025,1
82.72963169642857,85.084498322216,0.0,255.0,5421.0,1.0,29417.0,246.36615030748655,1
112.26610331632654,79.88526068438266,0.0,255.0,7393.0,2.0,22786.0,503.6566836485411,1
129.79097576530611,72.02158767394637,0.0,255.0,9851.0,14.0,22440.5,571.9079846847261,1
95.5958027742347,84.45303712143857,0.0,255.0,6206.0,1.0,26603.5,437.422631819414,1
129.74575494260205,71.83839262907122,0.0,255.0,10152.0,20.0,18724.5,575.6001416277459,1
120.8333665497449,76.78837461360693,0.0,255.0,6631.0,3.0,29256.0,590.6580837584197,1
95.13899075255102,83.22218030915792,0.0,255.0,5571.0,1.0,21460.5,461.31453284438777,1
96.20597496811224,83.79884496569267,0.0,255.0,6033.0,1.0,24355.0,636.5555644132653,1
103.72189891581633,81.98765318377453,0.0,255.0,3982.0,1.0,33849.5,583.6818996236406,1
127.49505739795919,73.52568966220466,0.0,255.0,7729.0,14.0,12198.5,550.9493577107943,1
104.32989875637755,81.3415136840427,0.0,255.0,5454.0,3.0,22764.0,465.4193385961105,1
107.02861926020408,80.5032606181879,0.0,255.0,5776.0,1.0,22074.5,414.8623632314254,1
91.85835857780613,83.66106737261742,0.0,255.0,4638.0,1.0,21221.5,236.91198956713185,1
128.60853794642858,72.77957247148083,0.0,255.0,7168.0,3.0,28693.0,470.87102470374117,1
97.09279336734694,83.2541543961165,0.0,255.0,5691.0,8.0,21760.5,489.71372767857144,1
90.10363520408163,84.30365571862875,0.0,255.0,5424.0,1.0,20557.5,820.8267299107143,1
95.6948541135204,84.63966414252928,0.0,255.0,5379.0,1.0,33052.0,632.7971711450693,1
89.1563496492347,84.88310685584143,0.0,255.0,5966.0,2.0,20908.0,863.3593749428032,1
113.41045519770408,78.83787685745759,0.0,255.0,5324.0,2.0,23378.0,306.81168986538563,1
101.5122369260204,83.75544126477169,0.0,255.0,6488.0,8.0,22813.0,444.3483759360927,1
92.08950494260205,83.92952923006175,0.0,255.0,5793.0,1.0,21272.5,437.2505580357143,1
